,x1,x2,y
0,-5.0,-5.0,-1.00264276922
1,-4.89898989899,-5.0,-0.963026102445
2,-4.79797979798,-5.0,-0.870344506538
3,-4.69696969697,-5.0,-0.798576393465
4,-4.59595959596,-5.0,-0.744568823649
5,-4.49494949495,-5.0,-0.718107826906
6,-4.39393939394,-5.0,-0.615415528293
7,-4.29292929293,-5.0,-0.617848389072
8,-4.19191919192,-5.0,-0.496548229212
9,-4.09090909091,-5.0,-0.439747609499
10,-3.9898989899,-5.0,-0.462952097755
11,-3.88888888889,-5.0,-0.351782626775
12,-3.78787878788,-5.0,-0.377186131462
13,-3.68686868687,-5.0,-0.285281481116
14,-3.58585858586,-5.0,-0.345294082883
15,-3.48484848485,-5.0,-0.379383742094
16,-3.38383838384,-5.0,-0.231659787341
17,-3.28282828283,-5.0,-0.285868714443
18,-3.18181818182,-5.0,-0.366581813352
19,-3.08080808081,-5.0,-0.355988131592
20,-2.9797979798,-5.0,-0.297473173917
21,-2.87878787879,-5.0,-0.264052148368
22,-2.77777777778,-5.0,-0.334405329868
23,-2.67676767677,-5.0,-0.314255058609
24,-2.57575757576,-5.0,-0.345064497159
25,-2.47474747475,-5.0,-0.394202242925
26,-2.37373737374,-5.0,-0.552569141212
27,-2.27272727273,-5.0,-0.571379980885
28,-2.17171717172,-5.0,-0.636584489223
29,-2.07070707071,-5.0,-0.712155450839
30,-1.9696969697,-5.0,-0.790732029399
31,-1.86868686869,-5.0,-0.836440928508
32,-1.76767676768,-5.0,-0.936961525423
33,-1.66666666667,-5.0,-1.00748506761
34,-1.56565656566,-5.0,-0.925496898277
35,-1.46464646465,-5.0,-0.923117833791
36,-1.36363636364,-5.0,-0.901278822411
37,-1.26262626263,-5.0,-0.897852298161
38,-1.16161616162,-5.0,-0.900085735233
39,-1.06060606061,-5.0,-0.888594981478
40,-0.959595959596,-5.0,-0.818572568476
41,-0.858585858586,-5.0,-0.779864210756
42,-0.757575757576,-5.0,-0.736488948789
43,-0.656565656566,-5.0,-0.709738586741
44,-0.555555555556,-5.0,-0.812080669039
45,-0.454545454545,-5.0,-0.596876299826
46,-0.353535353535,-5.0,-0.675377971125
47,-0.252525252525,-5.0,-0.51648623528
48,-0.151515151515,-5.0,-0.485403051379
49,-0.0505050505051,-5.0,-0.415746391092
50,0.0505050505051,-5.0,-0.401316414829
51,0.151515151515,-5.0,-0.271585445967
52,0.252525252525,-5.0,-0.0986515534704
53,0.353535353535,-5.0,-0.16292260251
54,0.454545454545,-5.0,-0.0610026134719
55,0.555555555556,-5.0,-0.0318319539206
56,0.656565656566,-5.0,-0.119441164592
57,0.757575757576,-5.0,-0.292949766881
58,0.858585858586,-5.0,-0.274177161179
59,0.959595959596,-5.0,-0.546754704409
60,1.06060606061,-5.0,-0.668165858225
61,1.16161616162,-5.0,-0.798804974727
62,1.26262626263,-5.0,-0.856139835587
63,1.36363636364,-5.0,-0.988011168932
64,1.46464646465,-5.0,-1.22385442668
65,1.56565656566,-5.0,-1.2578598037
66,1.66666666667,-5.0,-1.3969409316
67,1.76767676768,-5.0,-1.38928347456
68,1.86868686869,-5.0,-1.22818223755
69,1.9696969697,-5.0,-1.15476262891
70,2.07070707071,-5.0,-1.07936014843
71,2.17171717172,-5.0,-1.06302939899
72,2.27272727273,-5.0,-0.875979336279
73,2.37373737374,-5.0,-0.779909537115
74,2.47474747475,-5.0,-0.77446753782
75,2.57575757576,-5.0,-0.669016339762
76,2.67676767677,-5.0,-0.549798341802
77,2.77777777778,-5.0,-0.466405166983
78,2.87878787879,-5.0,-0.272407898932
79,2.9797979798,-5.0,-0.035886111968
80,3.08080808081,-5.0,-0.00535040326374
81,3.18181818182,-5.0,0.266523643554
82,3.28282828283,-5.0,0.444572029054
83,3.38383838384,-5.0,0.653777361323
84,3.48484848485,-5.0,0.717617203678
85,3.58585858586,-5.0,0.943285888302
86,3.68686868687,-5.0,1.04831932716
87,3.78787878788,-5.0,1.32203186313
88,3.88888888889,-5.0,1.39353188332
89,3.9898989899,-5.0,1.5031972054
90,4.09090909091,-5.0,1.41213132175
91,4.19191919192,-5.0,1.39055621215
92,4.29292929293,-5.0,1.38074101925
93,4.39393939394,-5.0,1.22357921604
94,4.49494949495,-5.0,1.31013473854
95,4.59595959596,-5.0,1.34423464702
96,4.69696969697,-5.0,1.31098427611
97,4.79797979798,-5.0,1.2614545438
98,4.89898989899,-5.0,1.20843461659
99,5.0,-5.0,1.19181372357
100,-5.0,-4.89898989899,-1.07118564713
